What might a person see at the scene of a brutal killing?\nOptions:\n- bloody mess\n- pleasure\n- being imprisoned\n- feeling of guilt\n- cake	bloody mess	Bloody mess is covered or stained with blood. A person might see a bloody mess at the scene of a brutal killing.
If you want to set a romantic atmosphere you might light a candle where?\nOptions:\n- dimly lit room\n- synagogue\n- bedroom\n- birthday cake\n- roses	bedroom	A romantic atmosphere can be set in bedroom. Bedroom is a place where one sleeps. Candles can be lit in a bedroom.
What might the result of unwanted flirting be?\nOptions:\n- attraction\n- problems\n- the gallows\n- being slapped\n- curiosity	being slapped	Person can be slapped if he does unwanted flirting to someone.
He had a lot on his plate opening business, this cause a lot of what?\nOptions:\n- headaches\n- making money\n- success\n- failure\n- stress	stress	Stress is an outcome of lot of things on plate. With new bsuiness, people have various issues that lead to stress.
Where would you borrow coffee if you do not have any?\nOptions:\n- meeting\n- convenience store\n- supermarket\n- fast food restaurant\n- friend's house	friend's house	If you don't have coffee powder / beans and don't want to buy it, you would borrow from friend's house. Friend will not sell you but will give you out of love.
This was the high jumper's second and final attempt, he was doing what to break a record?\nOptions:\n- leave\n- fail\n- finish\n- give up\n- trying	trying	Trying means to make an effort to achieve something. Making an effort is to attempt.
What does the government have control over?\nOptions:\n- trouble\n- country\n- army\n- city\n- control	city	A city is a large town. A government controls large towns.
What is the likelihood of drowning when getting wet?\nOptions:\n- shrinking\n- feeling cold\n- become cold\n- cool off\n- could	could	One could drown in too much water. Getting wet might mean too much water.
What does the government sometimes have too much of?\nOptions:\n- canada\n- trouble\n- city\n- control\n- water	control	Control means the power to influence or direct people's behaviour or the course of events. Governments govern it's people. Governing means looking after and controlling.
What happens after making friends with someone of the opposite sex?\nOptions:\n- falling in love\n- smile\n- talking\n- shake hands\n- punch in the face	falling in love	People generally fall in love with opposite se.
What do you hope to achieve when finding information about manners?\nOptions:\n- understanding of\n- solution to problem\n- polite\n- being able to use\n- know how to act	know how to act	Information about manners makes person know how to act in general with self control and discipline and selflessness.
What is the goal of driving to work?\nOptions:\n- speeding ticket\n- use gas\n- go fast\n- anxiety\n- get to work	get to work	Person goes to work place to work. The purpose of Driving to work is to get to work.
Nate washed his personal silverware and put it in a drawer.  Where might that drawer be?\nOptions:\n- bedroom\n- kitchen\n- table\n- restaurant\n- cupboard	kitchen	Silverwares are kept in kitchen. Drawers are there in a kitchen to keep personal utensils.
If somebody buys something and gives it to me as a free gift, what is the cost status of the gift?\nOptions:\n- deadly\n- imprisoned\n- paid for\n- expensive\n- in prison	paid for	If I don't pay for something I get, it's not paid by me.
What does every person talk out of?\nOptions:\n- name\n- hide\n- mother and father\n- mouth\n- heart	mouth	By mouth, talking is done. Every person talk out of mouth.
Other than school or from text where can one gain knowledge?\nOptions:\n- book\n- class\n- thinking\n- head\n- meeting	meeting	Meeting is the medium how people exchange information to large groups at work. Meeting is an assembly of people for formal discussions. Other than school or from text, one can gain knowledge from meeting.
It was breakfast time. Brad ordered eggs, toast, and something to drink. What might he drink?\nOptions:\n- coffee\n- throw up\n- food\n- getting drunk\n- wine	coffee	Coffee is drink. People drink coffee in the morning with breakfast. Brad ordered eggs, toast and coffee to drink.
Where can you find millions of apple tree?\nOptions:\n- spain\n- bible\n- washington state\n- woods\n- orchard	spain	Spain is an European country whose capital city is Madrid. Many apple trees are found in a country on Europe's Iberian Peninsula whose capital city is Madrid.
What is something that probably has a lot of testosterone and way too much alcohol?\nOptions:\n- beer\n- wine\n- restaurant\n- fraternity house\n- pub	fraternity house	Testosterone is a steroid hormone found majorly in men. Men generally drink too much alcohol. Fraternity house is a building where men generally hangout and drink.
A continent is a large area of land, but the globe is mostly covered by an what?\nOptions:\n- ocean\n- australia\n- asia\n- continent\n- island	ocean	Globe is covered by ocean mostly. Globe contains continents and oceans.
