What is the process by which living things give rise to offspring?\nOptions:\n- (A) DNA\n- (B) photosynthesis\n- (C) bird\n- (D) sex\n- (E) subtraction\n- (F) gametes\n- (G) eggs\n- (H) ovum	(D)	Reproduction is the process by which living things give rise to offspring. Sex equals reproduction. Sex is the process by which living things give rise to offspring.
What comes from reproduction?\nOptions:\n- (A) babies\n- (B) protein\n- (C) pollution\n- (D) dead cells\n- (E) Energy\n- (F) seeds\n- (G) Most plants\n- (H) children	(H)	Reproduction is the process by which living things give rise to offspring. Most people want to have children who are the biological offspring of both parents. Reproduction is the process by which living things produce children.
How do living things have children?\nOptions:\n- (A) death\n- (B) people\n- (C) humans\n- (D) babies\n- (E) it needs them\n- (F) reproduction\n- (G) mitosis\n- (H) production	(F)	Reproduction is the process by which living things give rise to offspring. Seed refers to offspring, children. Living things use reproduction to have children.
Where do platypus females construct their homes for egg laying?\nOptions:\n- (A) loose dirt\n- (B) out in the open\n- (C) loose soil\n- (D) Summer\n- (E) rocky areas\n- (F) autumn\n- (G) soft soil\n- (H) compacted soil	(G)	Platypus females lay their eggs in a burrow. Burrows are constructed in soft soil. Platypus females lay their eggs in homes constructed in soft soil.
How do platypus lay eggs?\nOptions:\n- (A) epidermis and dermis\n- (B) on a flat plane\n- (C) in a tree\n- (D) fur and fat\n- (E) during the day\n- (F) it keeps an organism warm\n- (G) in a dug out area\n- (H) in the water	(G)	Platypus females lay their eggs in a burrow. Burrows dug by badgers are also important in many areas. Platypus females lay eggs in a dug out area.
What does not normally lay eggs?\nOptions:\n- (A) swea\n- (B) insects\n- (C) Mammal\n- (D) chickens\n- (E) cows\n- (F) animals\n- (G) parasites\n- (H) ducks	(C)	Platypus females lay their eggs in a burrow. Although the platypus is a mammal, it is bizarre and lays eggs . Mammals do not usually lay eggs.
Some invertebrates may have which feature?\nOptions:\n- (A) invertebrate\n- (B) fat\n- (C) gills\n- (D) exception\n- (E) three\n- (F) mollusk\n- (G) complex\n- (H) shell	(H)	Most mollusks have shells. Mollusks are invertebrates and are no exception. Some invertebrates have shells.
Mussels have what?\nOptions:\n- (A) seaweed\n- (B) arms\n- (C) Energy\n- (D) a shell\n- (E) warmth\n- (F) bacteria\n- (G) Length\n- (H) legs	(D)	Most mollusks have shells. Mussels are bivalve mollusks. Mussels have shells.
Most of what type of animal is known for having a shell?\nOptions:\n- (A) fossils\n- (B) toads\n- (C) eggs\n- (D) swea\n- (E) small\n- (F) insects\n- (G) porous\n- (H) snail	(H)	Most mollusks have shells. Among mollusks, the golden snail is a survivalist. Most snails have shells.
What has a water vascular system with tube feet?\nOptions:\n- (A) humans\n- (B) blastoids\n- (C) bushes\n- (D) orchids\n- (E) Most plants\n- (F) ferns\n- (G) bacteria\n- (H) the Sun	(B)	Echinoderms have a unique water vascular system with tube feet. Echinoderms in the diorama include the crinoids and blastoids. Blastoids have a unique water vascular system with tube feet.
What is an example of an echinoderm?\nOptions:\n- (A) a fish\n- (B) eel\n- (C) starfish\n- (D) parasites\n- (E) ferns\n- (F) shark\n- (G) fertile\n- (H) algae	(C)	Echinoderms have a unique water vascular system with tube feet. Each starfish arm is lined with tube feet. Starfish are an echinoderm with a unique water vascular system.
What kind of animals has a water vascular system with tubed feet?\nOptions:\n- (A) animals\n- (B) starfish\n- (C) reeds\n- (D) insects\n- (E) warm-blooded\n- (F) sponges\n- (G) sea coral\n- (H) four limbs	(B)	Echinoderms have a unique water vascular system with tube feet. Echinoderms are represented by the starfish. Starfish have a unique water vascular system with tube feet.
How do echinoderms use their feet to locomote themselves?\nOptions:\n- (A) one at a time\n- (B) to move people\n- (C) running and lifting\n- (D) protein channels\n- (E) a hydraulic system\n- (F) it needs them\n- (G) undulations\n- (H) It helps them survive	(E)	Echinoderms have a unique water vascular system with tube feet. Echinoderms have a hydraulic system of locomotion called the water vascular system. Echinoderms have a hydraulic system of locomotion with tube feet.
What phylum do starfish belong to?\nOptions:\n- (A) fertile\n- (B) animals\n- (C) Echinoderm.\n- (D) Mollusca.\n- (E) Sponge.\n- (F) Absorb light\n- (G) Annelid.\n- (H) a fish	(C)	Echinoderms have a unique water vascular system with tube feet. Each starfish arm is lined with tube feet. Starfish are echinoderms.
Where does a starfish have its water vascular system?\nOptions:\n- (A) salt and water.\n- (B) Chlorophyll\n- (C) the environment\n- (D) in its arms\n- (E) on the rocks\n- (F) in its eyes\n- (G) Epidermis\n- (H) in the ocean	(D)	Echinoderms have a unique water vascular system with tube feet. Each starfish arm is lined with tube feet. Each starfish arm contains part of the water vascular system.
Which has a unique water vascular system?\nOptions:\n- (A) roots\n- (B) trees\n- (C) Conifers\n- (D) Echinoids\n- (E) fur seals\n- (F) Most plants\n- (G) ferns\n- (H) bushes	(D)	Echinoderms have a unique water vascular system with tube feet. Another group of echinoderms are the echinoids. Echinoids have unique water vascular system was tube feet.
To learn more about the average weather, it is essential to:\nOptions:\n- (A) staying warm\n- (B) observe it\n- (C) argue about it\n- (D) ignore it\n- (E) survive\n- (F) temperature\n- (G) A computer\n- (H) write about it	(B)	Climate is the average weather in an area over a long period of time. Along with simulating the climate, it is crucial to observe the climate. It is essential to observe the average weather in one place over time.
The average weather in an area during an era is called:\nOptions:\n- (A) Summer\n- (B) epoch\n- (C) good\n- (D) autumn\n- (E) time period\n- (F) mild\n- (G) Pleistocein\n- (H) climate	(H)	Climate is the average weather in an area over a long period of time. An era is a period of time in which events occur. Climate is the average weather in an area during an era.
What is the average weather in a place over time?\nOptions:\n- (A) mild\n- (B) Summer\n- (C) deserts\n- (D) acclimate\n- (E) seasons\n- (F) climate\n- (G) temperature\n- (H) climatic	(F)	Climate is the average weather in an area over a long period of time. Eilat is the safest place in the area. Climate is the average weather in a place over a long period of time.
An animal which may have one or two hearts to pump blood is:\nOptions:\n- (A) squid\n- (B) goats\n- (C) bats\n- (D) mammals\n- (E) toads\n- (F) Birds\n- (G) edible\n- (H) a fish	(A)	Mollusks have a circulatory system with one or two hearts that pump blood. Interestingly, a squid is also a mollusk. Squid have a circulatory system with one or two hearts that pump blood.
Which animals have a circulatory system?\nOptions:\n- (A) insects\n- (B) mammals\n- (C) fur seals\n- (D) sharks\n- (E) cows\n- (F) squids\n- (G) a fish\n- (H) chickens	(F)	Mollusks have a circulatory system with one or two hearts that pump blood. Interestingly, a squid is also a mollusk. Squids have a circulatory system.
What differ strongly in appearance and are barrel shaped?\nOptions:\n- (A) bears\n- (B) barnacles\n- (C) abdomens\n- (D) oxen\n- (E) Leptospirosis\n- (F) cacti\n- (G) burrs\n- (H) tunicates	(H)	Adult tunicates are barrel-shaped. Tunicates differ strongly in appearance between the adult and larva. Tunicates differ strongly in appearance and are barrel shaped.
Adult urochordates are _-shaped.\nOptions:\n- (A) Length\n- (B) a prism\n- (C) fossils\n- (D) grow\n- (E) barrel\n- (F) fertile\n- (G) Grow well\n- (H) revolving	(E)	Adult tunicates are barrel-shaped. Urochordates are commonly called tunicates. Adult urochordates are barrel-shaped.
What stimulates the pituitary gland in order to maintain structural integrity of the thyroid?\nOptions:\n- (A) TRH\n- (B) Urea\n- (C) CO 2\n- (D) PDAs\n- (E) HPV\n- (F) SO2\n- (G) mL\n- (H) p53	(A)	TRH stimulates the pituitary gland to produce thyroid-stimulating hormone, or TSH. Another function of TSH is to maintain the structural integrity of the thyroid gland. TRH stimulates the pituitary gland to maintain structural integrity of the thyroid.
What disrupts the cycle between organisms and the atmosphere?\nOptions:\n- (A) burning coal\n- (B) Sulfur dioxide\n- (C) replanting forests\n- (D) solar system\n- (E) Greenhouse gasses\n- (F) chlorofluorocarbons\n- (G) life cycle\n- (H) deforestation	(H)	Carbon cycles quickly between organisms and the atmosphere. Deforestation also disrupts the Carbon Cycle. Deforestation disrupts the cycle between organisms and the atmosphere.
Carbon cycles quickly between organisms and\nOptions:\n- (A) O2\n- (B) DNA\n- (C) comets\n- (D) air\n- (E) Aves\n- (F) ocean\n- (G) satellites\n- (H) lung	(D)	Carbon cycles quickly between organisms and the atmosphere. Atmosphere is the blanket of air around the earth. Carbon cycles quickly between organisms and the blanket of air around the earth.
Objects that are a few nanometers in size can be seen only with:\nOptions:\n- (A) an electron microscope\n- (B) refraction of light\n- (C) matter vibrating\n- (D) ultrasound\n- (E) The bending of a ray of light\n- (F) slight magnification\n- (G) flashlights\n- (H) lens	(A)	Viruses are so small that they can be seen only with an electron microscope. Viruses Viruses are very small, a few nanometers in size. Objects that are only a few nanometers in size can be seen only with an electron microscope.
Viruses are so small that to see them a scientist would have to use what kind of lens?\nOptions:\n- (A) Refract it\n- (B) refraction of light\n- (C) an electron lens\n- (D) an image\n- (E) rays or beams\n- (F) bending light rays\n- (G) A computer\n- (H) flashlights	(C)	Viruses are so small that they can be seen only with an electron microscope. On the surface of each microscopic color filter is also a microscopic lens. Viruses are so small that they can be seen only with an electron lens.
How can cells of the tobacco mosaic be seen?\nOptions:\n- (A) refraction of light\n- (B) an area swollen with pus\n- (C) by indirect light\n- (D) death and devastation\n- (E) bending light rays\n- (F) electron microscope\n- (G) deadly and devastating\n- (H) Veins and arteries.	(F)	Viruses are so small that they can be seen only with an electron microscope. Viruses include the Tobacco Mosaic Virus. Tobacco Mosaic is so small that it can only be seen with an electron microscope.
What does fire require to get started?\nOptions:\n- (A) an engine\n- (B) activation energy\n- (C) water\n- (D) energy usage\n- (E) direct energy\n- (F) dogs\n- (G) activated almonds\n- (H) adding heat	(B)	All chemical reactions require activation energy to get started. Fire is a chemical reaction. Fire requires activation energy to get started.
All chemical reactions require a form of what to get started?\nOptions:\n- (A) oxygen\n- (B) celestial measurement\n- (C) gas\n- (D) heat\n- (E) UV\n- (F) charge\n- (G) Light\n- (H) scientific expression	(D)	All chemical reactions require activation energy to get started. Basically, heat is energy. All chemical reactions require heat to get started.
What is required before a chemical change?\nOptions:\n- (A) kinetic energy\n- (B) energy usage\n- (C) activation push\n- (D) activation energy\n- (E) activation switch\n- (F) activation power\n- (G) Burning fuel and air\n- (H) Evaporation	(D)	All chemical reactions require activation energy to get started. Chemical changes are a result of chemical reactions. Activation energy must be used before a chemical change happens.
What must a chemical reaction overcome before starting?\nOptions:\n- (A) PV=nRT\n- (B) heat or cold\n- (C) reactants\n- (D) energy barrier\n- (E) Dehydration\n- (F) harmful substances\n- (G) resistance\n- (H) temperature	(D)	All chemical reactions require activation energy to get started. Activation energy is required to overcome the energy barrier. All chemical reactions must first overcome the energy barrier.
What do catalysts do?\nOptions:\n- (A) metabolic reaction\n- (B) breathe\n- (C) get chemical reactions started\n- (D) Slowing the transfer of heat\n- (E) A compound that donates proton\n- (F) fertilize eggs\n- (G) have a positive impact on the environment\n- (H) inhibit chemical reactions	(C)	All chemical reactions require activation energy to get started. Catalysts lower the activation energy for reactions. Catalysts help chemical reactions to get started.
In what way does a catalyst help in chemical reactions?\nOptions:\n- (A) Generating heat\n- (B) lowered energy cost\n- (C) metabolic reaction\n- (D) heating liquids\n- (E) by making heat\n- (F) adding heat\n- (G) increases a body's strength\n- (H) preventing heat transfer	(B)	All chemical reactions require activation energy to get started. Catalysts lower the activation energy. A catalyst can lower the energy cost of a chemical reaction.
What do all chemical changes require to occur?\nOptions:\n- (A) during the day\n- (B) heating liquids\n- (C) Activation energy\n- (D) wavelengths and photons\n- (E) Burning fuel and air\n- (F) kinetic energy\n- (G) electromagnetic energy\n- (H) direct energy	(C)	All chemical reactions require activation energy to get started. Chemical changes are a result of chemical reactions. All chemical changes require activation energy to occur.
What describes something that requires activation energy to get started?\nOptions:\n- (A) igniting fuel and oxidiser\n- (B) heating liquids\n- (C) Fully cooking the oysters\n- (D) Riding a bike\n- (E) an engine\n- (F) burning coal\n- (G) chemical equations\n- (H) Firecrackers	(G)	All chemical reactions require activation energy to get started. Chemical equations describe chemical reactions. Chemical equations describe something that requires activation energy to get started.
Amphibians with what are more advanced than fish?\nOptions:\n- (A) four eyes\n- (B) sensory neurons\n- (C) rapid expansion\n- (D) layers of fat\n- (E) four limbs\n- (F) kinetic energy\n- (G) tails\n- (H) many limbs	(E)	Amphibians are the first true tetrapods, or vertebrates with four limbs. All vertebrates more advanced than fish have four limbs, each with up to five fingers or toes. Amphibians with four limbs are more advanced than fish.
These belong to the class of creature that were the first true tetrapods:\nOptions:\n- (A) millipede\n- (B) crabs\n- (C) four limbs\n- (D) bullfrogs\n- (E) gastropod\n- (F) a fish\n- (G) warm-blooded\n- (H) insects	(D)	Amphibians are the first true tetrapods, or vertebrates with four limbs. Bullfrogs eat other amphibians. Bullfrogs are of the class of creatures that were the first true tetrapods.
_ are tetrapods.\nOptions:\n- (A) animals\n- (B) amoeba\n- (C) Frogs\n- (D) Length\n- (E) insects\n- (F) Spiders\n- (G) Snakes\n- (H) Birds	(C)	Amphibians are the first true tetrapods, or vertebrates with four limbs. Frogs are classified as amphibians. Frogs are tetrapods.
The first tetrapods were\nOptions:\n- (A) major threat to health\n- (B) remains of prehistoric life\n- (C) in the frog family\n- (D) running and lifting\n- (E) competing for resources\n- (F) warm-blooded\n- (G) objects that have mass\n- (H) graptolites	(C)	Amphibians are the first true tetrapods, or vertebrates with four limbs. All frogs are amphibians. Animals in the frog family are the first true tetrapods.
Starfish, sea urchins and sea cucumbers lack a what?\nOptions:\n- (A) characteristics\n- (B) the body's largest organ\n- (C) watery habitat\n- (D) centralized nervous system\n- (E) functioning arm\n- (F) underwater life\n- (G) biological diversity\n- (H) epidermis and dermis	(D)	Echinoderms lack a centralized nervous system. Echinoderms include starfish, sea urchins, and sea cucumbers. Starfish, sea urchins and sea cucumbers lack a centralized nervous system.
Echinoderms are resistant to some:\nOptions:\n- (A) starfish\n- (B) enzymes\n- (C) Toxicity\n- (D) pesticide\n- (E) parasites\n- (F) toxins\n- (G) boats\n- (H) chemicals	(F)	Echinoderms lack a centralized nervous system. From animal experiments, it seems to be a central nervous system toxin. Echinoderms are resistant to some toxins.
What lacks a centralized nervous system?\nOptions:\n- (A) starfish\n- (B) barnacles\n- (C) blowfish\n- (D) our planet\n- (E) humans\n- (F) Pesticides\n- (G) insects\n- (H) sharks	(A)	Echinoderms lack a centralized nervous system. Echinoderms are represented by the starfish. Starfish lack a centralized nervous system.
What kind of animal doesn't have a centralized nervous system?\nOptions:\n- (A) dog\n- (B) mammals\n- (C) cows\n- (D) bird\n- (E) human\n- (F) elephants\n- (G) starfish\n- (H) a fish	(G)	Echinoderms lack a centralized nervous system. Echinoderms are represented by the starfish. Starfish lack a centralized nervous system.
What is something missing in starfish?\nOptions:\n- (A) the body's largest organ\n- (B) centralized nervous system\n- (C) characteristics\n- (D) layers of fat\n- (E) permineralization\n- (F) biological diversity\n- (G) kinetic energy\n- (H) A compound that donates proton	(B)	Echinoderms lack a centralized nervous system. Echinoderms are represented by the starfish. Starfish lack a centralized nervous system.
Individuals who move into or out of a community increase:\nOptions:\n- (A) homogeneity\n- (B) energy usage\n- (C) power\n- (D) monoculture\n- (E) competition\n- (F) adding heat\n- (G) population\n- (H) gene flow	(H)	Gene flow occurs when individuals move into or out of a population. Community health focuses on the health of populations or groups. Gene flow occurs when individuals move into or out of a community.
What happens when people flow into or out of a population?\nOptions:\n- (A) genetic morphing\n- (B) death\n- (C) gene flow\n- (D) movement\n- (E) generic flow\n- (F) interact\n- (G) competition\n- (H) gene expression	(C)	Gene flow occurs when individuals move into or out of a population. People are individuals, and each person has different needs. Gene flow occurs when people move into or out of a population.
Migration increases what?\nOptions:\n- (A) root growth\n- (B) speed\n- (C) distance\n- (D) voltage\n- (E) energy usage\n- (F) Plants growth\n- (G) gene flow\n- (H) layers of fat	(G)	Gene flow occurs when individuals move into or out of a population. Internal migration describes moves within a country. Gene flow occurs when individuals migrate.
What provides food and shelter to many ocean organisms?\nOptions:\n- (A) houses\n- (B) umbrellas\n- (C) limestone\n- (D) ferns\n- (E) sharks\n- (F) barnacles\n- (G) calcite\n- (H) sheds	(G)	Coral reefs provide food and shelter to many ocean organisms. Coral reefs are predominantly calcite. Calcite provides food and shelter to many ocean organisms.
Where is the name of a habitat where a variety of ocean organisms often seek food and shelter?\nOptions:\n- (A) gastropod shells\n- (B) body water\n- (C) seaweed\n- (D) more abundant\n- (E) whale\n- (F) coastlines\n- (G) algae\n- (H) patch reefs	(H)	Coral reefs provide food and shelter to many ocean organisms. Coral reefs occur mainly as numerous patch reefs. Patch reef provide food and shelter to many ocean organisms.
Coral reefs provide what to many living beings in the ocean\nOptions:\n- (A) Chemical energy\n- (B) salt and water.\n- (C) shelter and amusement\n- (D) survival\n- (E) important habitats\n- (F) food and water\n- (G) water and fun\n- (H) food and shelter	(H)	Coral reefs provide food and shelter to many ocean organisms. Organisms or living beings are literally things that are alive. Coral reefs provide food and shelter to many ocean living beings.
What provides food and shelter to many ocean organisms?\nOptions:\n- (A) It helps them survive\n- (B) Something formed from skeleton\n- (C) sedimentary rocks\n- (D) important habitats\n- (E) Something with a head, thorax, and abdomen\n- (F) it protects them\n- (G) gastropod shells\n- (H) in their habitats	(B)	Coral reefs provide food and shelter to many ocean organisms. Coral reefs are formed from coral skeletons. Something formed from skeletons provide food and shelter to many ocean organisms.
Hermatypic organisms provide what to many ocean organisms?\nOptions:\n- (A) survival\n- (B) food and shelter\n- (C) competition\n- (D) kinetic energy\n- (E) produce light\n- (F) important habitats\n- (G) protect them\n- (H) major threat to health	(B)	Coral reefs provide food and shelter to many ocean organisms. Reef-building corals are hermatypic. Hermatypic organisms provide food and shelter to many ocean organisms.
How do animals learn how to be assertive?\nOptions:\n- (A) lectures from their parent\n- (B) instinct\n- (C) Movement\n- (D) playing\n- (E) being killed\n- (F) ligt\n- (G) sweating\n- (H) exercise	(D)	Playing is one way mammals and other animals learn how to behave. Second stage, learn how to behave assertively. Playing is one way mammals and other animals learn how to be assertive.
What do sea lions learn how to behave from?\nOptions:\n- (A) exercise\n- (B) Energy.\n- (C) fish\n- (D) Movement\n- (E) Energy\n- (F) playing\n- (G) children\n- (H) whales	(F)	Playing is one way mammals and other animals learn how to behave. Sea lions are tactile mammals. Playing is one way sea lions learn how to behave.
Playing is one way organisms that have ingestive metabolism learn how to what?\nOptions:\n- (A) propagate\n- (B) instinct\n- (C) grow\n- (D) nutrients\n- (E) die\n- (F) behave\n- (G) survive\n- (H) Grow well	(F)	Playing is one way mammals and other animals learn how to behave. Animals are organisms that have ingestive metabolism. Playing is one way organisms that have ingestive metabolism learn how to behave.
What is one way dogs learn to behave?\nOptions:\n- (A) exercise\n- (B) mating\n- (C) ligt\n- (D) playing\n- (E) parties\n- (F) slumber\n- (G) firm hugs\n- (H) Movement	(D)	Playing is one way mammals and other animals learn how to behave. Cats are Mammals that Shed Dogs are Mammals that Wag their tails. Playing is one way dogs learn to behave.
Bacteria causes what to be harmed?\nOptions:\n- (A) plants\n- (B) electronics\n- (C) fossils\n- (D) humans\n- (E) animals\n- (F) viruses\n- (G) food\n- (H) the skin	(A)	Plants respond to daily and seasonal cycles and to disease. Plant diseases cause by bacteria. Plants respond to seasonal and daily cycles and to bacteria.
What do plants respond to?\nOptions:\n- (A) Chemical energy\n- (B) Vibrations\n- (C) heat energy\n- (D) Sulfur dioxide\n- (E) Temperature\n- (F) sun's heat\n- (G) Clouds\n- (H) Wood	(E)	Plants respond to daily and seasonal cycles and to disease. Temperature follows a seasonal cycle. Plants respond to temperature.
What responds to daily and seasonal cycles and to disease?\nOptions:\n- (A) resistance\n- (B) Sundays\n- (C) vegetation\n- (D) Summer season\n- (E) swamp vegetation\n- (F) Mondays\n- (G) alpacas\n- (H) Green beans	(H)	Plants respond to daily and seasonal cycles and to disease. Green bean plantings continue to be planted. Green beans respond to daily and seasonal cycles and to disease.
What do plants respond to?\nOptions:\n- (A) Energy.\n- (B) heat produced\n- (C) Chemical energy\n- (D) sun's heat\n- (E) the environment\n- (F) heat energy\n- (G) Sulfur dioxide\n- (H) temperature	(H)	Plants respond to daily and seasonal cycles and to disease. Temperature follows a seasonal cycle. Plants respond to temperature.
What requires a microscope in order to be seen?\nOptions:\n- (A) fungi\n- (B) cells\n- (C) mildew\n- (D) gasoline\n- (E) fungus\n- (F) matter\n- (G) telescopes\n- (H) sunlight	(B)	Cells vary in size as well as shape, but all cells are very small. An embryo is so small that it requires a microscope in order to be seen. A cell requires a microscope in order to be seen.
Cells pretty much al share this one characteristic:\nOptions:\n- (A) sensory neurons\n- (B) voltage\n- (C) aerobic capacity\n- (D) microscopic\n- (E) eukaryotic\n- (F) bacteria\n- (G) prokaryotic\n- (H) layers of fat	(D)	Cells vary in size as well as shape, but all cells are very small. All cells are microscopic in size. Cells can vary in shape, but they are all microscopic.
Which item found in the human body is smaller? \nOptions:\n- (A) the eyes\n- (B) Epidermis\n- (C) all matter\n- (D) Fingernail.\n- (E) Inches\n- (F) Baby tooth.\n- (G) Small eyelash.\n- (H) Neuron.	(H)	Cells vary in size as well as shape, but all cells are very small. Neurons are cells that are similar to other cells. Neurons are very small in size.
What size are cells?\nOptions:\n- (A) either huge or tiny\n- (B) non existent\n- (C) dense\n- (D) large\n- (E) white\n- (F) tiny\n- (G) dead\n- (H) albino	(F)	Cells vary in size as well as shape, but all cells are very small. Atoms are tiny particles that are too small to see. Cells vary in size as well as shape, but all cells are very tiny.
What may vary in size as well as shape, but all are very small?\nOptions:\n- (A) keeping food fresh for long periods of time\n- (B) disease-causing microorganisms\n- (C) A solid geometric shape\n- (D) Unequal radiation absorption\n- (E) Small countries.\n- (F) Shapewear.\n- (G) A water well.\n- (H) Basic units of the plant body.	(H)	Cells vary in size as well as shape, but all cells are very small. Basic unit of the plant body is the cell. Basic units of the plant body vary in size as well as shape, but all are very small.
How are atolls built?\nOptions:\n- (A) important habitats\n- (B) By coral exoskeletons\n- (C) by fish\n- (D) with machines\n- (E) by a type of eel\n- (F) It used to be covered by water\n- (G) The area was once underwater\n- (H) reusing materials	(B)	Many corals secrete an exoskeleton that builds up to become a coral reef. An atoll is the third type of reef. Atolls are built by corals secreting an exoskeleton.
What is secreted by organisms like frogspawn to become a reef?\nOptions:\n- (A) exocrine glands\n- (B) food and shelter\n- (C) exoskeleton\n- (D) bones\n- (E) Energy\n- (F) Chemical energy\n- (G) plasma\n- (H) Energy.	(C)	Many corals secrete an exoskeleton that builds up to become a coral reef. Good examples are Bubble coral, Elegance coral, Frogspawn and other Euphyllia corals. Organisms like frogspawns secrete an exoskeleton that builds up to become a reef.
