Rs. 5600 is divided into three parts A, B and C. How much A is more than C if their ratio is 1/7:1/7:1/14?\nOptions:\n(A) 300\n(B) 992\n(C) 1120\n(D) 552\n(E) 312	(C)	1/7:1/7:1/14 = 2:2:1\n1/5*5600 = 1120\n2240-1120 = 1120
The edge of a cube is 7a cm. Find its surface?\nOptions:\n(A) 24a8\n(B) 24a4\n(C) 24a1\n(D) 24a2\n(E) 294a2	(E)	6a2 = 6 * 7a * 7a = 294a2
A board 7ft. 9 inches long is divided into 3 equal parts . What is the length of each part?\nOptions:\n(A) 31 inches\n(B) 32 inches\n(C) 33 inches\n(D) 34 inches\n(E) 35 inches	(A)	7 ft 9 in is 84 + 9 = 93 inches. so 93/3 = 31 inches or 2 ft. 7 inch.
If rupee one produces rupees nine over a period of 40 years, find the rate of simple interest?\nOptions:\n(A) 22 1/8 %\n(B) 22 3/2 %\n(C) 28 1/2 %\n(D) 22 1/2 %\n(E) 32 1/2 %	(D)	9 = (1*40*R)/100\nR = 22 1/2 %
There are different 15 circles. What is the number of the greatest possible points with which the circles intersect?\nOptions:\n(A) 390\n(B) 100\n(C) 110\n(D) 180\n(E) 210	(E)	Maximum points of intersection between n different circles = n*(n - 1) = 15*14 = 210
If x is the product of the integers from 1 to 150, inclusive, and 5^y is a factor of x, what is the greatest possible value of y ?\nOptions:\n(A) 30\n(B) 34\n(C) 36\n(D) 37\n(E) 39	(D)	It basically asks for the number of 5s in 150!\n150/5 + 150/25 + 150/125 = 30 + 6 + 1. Hence 37
Company Z spent 1/4 of its revenues last year on marketing and 1/7 of the remainder on maintenance of its facilities. What fraction of last year’s original revenues did company Z have left after its marketing and maintenance expenditures?\nOptions:\n(A) 5/14\n(B) 1/2\n(C) 17/28\n(D) 9/14\n(E) 9/11	(D)	Total revenues = x\nSpent on marketing = x/4\nRemaining amount = x-x/4 = 3x/4\n1/7 of the remainder on maintenance of its facilities = 3x/4*1/7 = 3x/28\nAmount left = 3x/4-3x/28 = 9x/14
A train 360 m long is running at a speed of 45 km/hr. In what time will it pass a bridge 140 m long?\nOptions:\n(A) 40 sec\n(B) 42 sec\n(C) 45 sec\n(D) 48 sec\n(E) 58 sec	(A)	Speed = 45 * 5/18 = 25/2 m/sec\nTotal distance covered = 360 + 140 = 500 m\nRequired time = 500 * 2/25 = 40 sec
The average height in a group of 4 people is 175 cm. If the average height increased when 2 more people were added to the group, which of the following cannot be the heights of the two new people?\nOptions:\n(A) 179 cm and 172 cm\n(B) 181 cm and 169 cm\n(C) 173 cm and 178 cm\n(D) 176 cm and 176 cm\n(E) 174 cm and 177 cm	(B)	Denote X as the sum of the heights of the two new people. From the stem it follows that (700+X)6>175. This reduces to X>350. Only the heights from B add up to 350 cm. All other pairs add up to more than 350 cm.
A shopkeeper gave an additional 20 per cent concession on the reduced price after giving 30 per cent standard concession on an article. If Arun bought that article for 1,120, what was the original price?\nOptions:\n(A) 3,000\n(B) 4,000\n(C) 2,400\n(D) 2,000\n(E) None of these	(D)	Original price = 1120 × 100⁄70 × 100⁄80 = 2000
If a man can cover 18 metres in one second, how many kilometres can he cover in 3 hours 45 minutes?\nOptions:\n(A) 288\n(B) 162\n(C) 878\n(D) 168\n(E) 243	(E)	18 m/s = 12 * 18/5 kmph\n3 hours 45 minutes = 3 3/4 hours = 15/4 hours\nDistance = speed * time = 18 * 18/5 * 15/4 km = 243 km.
There are two water tanks A and B, A is much smaller than B. While water fills at the rate of one liter every hour in A, it gets filled up like 10, 20, 40, 80, 160 in tank B. (At the end of first hour, B has 10 liters, second hour it has 20, third hour it has 40 and so on). If tank B is 1/32 filled after 21 hours, what is the total duration required to fill it completely?\nOptions:\n(A) 22\n(B) 28\n(C) 269\n(D) 26\n(E) 82	(D)	The data related to the first tank A is not necessary. As you can see, the capacity that gets filled in the tank B after each hour is doubled. So If the tank is 1/32nd part is full after 21 hours, it is 1/16th part full after 22 hours, 1/8th part full after 23 hours, 1/4th part full after 24 hours, 1/2 full after 25 hours, completely full after 26 hours.
The inverse ratio of 4: 2: 1 is?\nOptions:\n(A) 2:4:8\n(B) 2:3:9\n(C) 2:3:2\n(D) 2:3:6\n(E) 2:3:1	(A)	1/4: 1/2: 1/1 = 2:4:8
Consider a quarter of a circle of radius 20. Let r be the radius of the circle inscribed in this quarter of a circle. Find r.\nOptions:\n(A) 20*(sqr2 -1) \n(B) 8*(sqr3 -1) \n(C) 4*(sqr7 - 1) \n(D) 12* (sqr7 -1) \n(E) None of these	(A)	I got 20/(sqr2 +1) and just forgot to multiply by (sqr2 -1).
What distance will be covered by a city bus moving at 72 kmph in 30 seconds?\nOptions:\n(A) 200 m\n(B) 300 m\n(C) 600 m\n(D) 500 m\n(E) 400 m	(C)	72 kmph = 72 * 5/18 = 20 mps\nDist = Speed * time = 20 * 30 = 600 m.
A no. when divided by the sum of 555 and 445 gives 2times their difference as quotient & 60 as remainder. Find the no. is?\nOptions:\n(A) 145646\n(B) 236578\n(C) 645353\n(D) 456546\n(E) 220060	(E)	(555 + 445) * 2 * 110 + 60 = 220000 + 60 = 220060
What percent is 240 of 90?\nOptions:\n(A) 133 1/3 %\n(B) 134 1/3 %\n(C) 135 1/3 %\n(D) 266 2/3 %\n(E) 143 1/3 %	(D)	240/90 = 8/3\n8/3 × 100 = 800/3 = 266 2/3 %
The average of seven numbers is 18. The average of first three numbers is 14 and the average of last three numbers is 23. What is the middle number?\nOptions:\n(A) 25\n(B) 27\n(C) 15\n(D) 32\n(E) 34	(C)	The total of seven numbers = 7X18 = 126\nThe total of first 3 and last 3 numbers is = 3 X 14+3 X 23 = 111\nSo, the middle number is (126 - 111 ) = 15
A train 300 m long is running at a speed of 99 km/hr. In what time will it pass a bridge 195 m long?\nOptions:\n(A) 17\n(B) 18\n(C) 19\n(D) 20\n(E) 21	(B)	Speed = 99 * 5/18 = 55/2 m/sec\nTotal distance covered = 300 + 195 = 495 m\nRequired time = 495 * 2/55 = 18 sec
The average of 13 result is 60. Average of the first 7 of them is 57 and that of the last 7 is 61. Find the 8th result?\nOptions:\n(A) 35\n(B) 37\n(C) 46\n(D) 48\n(E) 50	(C)	Sum of all the 13 results = 13 * 60 = 780\nSum of the first 7 of them = 7 * 57 = 399\nSum of the last 7 of them = 7 * 61 = 427\nSo, the 8th number = 427 + 399 - 780 = 46.
How much 60% of 50 is greater than 40% of 30?\nOptions:\n(A) 18\n(B) 99\n(C) 77\n(D) 66\n(E) 12	(A)	(60/100) * 50 – (40/100) * 30\n30 - 12 = 18ch 60% of 50 is greater than 40% of 30?
The speed of a train is 90 kmph. What is the distance covered by it in 10 minutes?\nOptions:\n(A) 15\n(B) 66\n(C) 77\n(D) 52\n(E) 42	(A)	90 * 10/60 = 15 kmph
How many cubes will have 4 coloured sides and two non-coloured sides ?\nOptions:\n(A) 5\n(B) 4\n(C) 3\n(D) 2\n(E) 1	(B)	Only 4 cubes situated at the corners of the cuboid will have 4 coloured and 2 non-coloured sides.
John has 10pairs of dark blue socks and 10pairs of black socks. He keeps them all in the same bag. If he picks out 3socks at random, then what is the probability thathe will get a matching pair?\nOptions:\n(A) 1\n(B) 3\n(C) 5\n(D) 6\n(E) 9	(A)	If he draws any combination of 3 socks he will definitely have the matching pair of either colour.
Efrida and Frazer who live 12 miles apart, meet at a restaurant that is directly north of Efrida's home and directly east of Frazer's home. If the restaurant is two miles closer to Efrida's home, than to Frazer's home, how many miles is the restaurant from Frazer's home?\nOptions:\n(A) 6\n(B) 7\n(C) 8\n(D) 10\n(E) 11	(D)	It's a simple geometry problem. Look at the diagram below:
The length of a rectangle is increased by 20% and its breadth is decreased by 20%. What is the effect on its area?\nOptions:\n(A) 1288\n(B) 9600\n(C) 1000\n(D) 10000\n(E) 2887	(B)	100 * 100 = 10000\n120 * 80 = 9600
Which is odd one\n10, 25, 45, 54, 60, 75, 80\nOptions:\n(A) 10\n(B) 45\n(C) 54\n(D) 60\n(E) 75	(C)	All numbers except 54 is multiple of 5.
What is the are of an equilateral triangle of side 24 cm?\nOptions:\n(A) 66âˆš3 cm2\n(B) 74âˆš3 cm2\n(C) 64âˆš3 cm2\n(D) 64âˆš5 cm2\n(E) 144âˆš3 cm2	(E)	Area of an equilateral triangle = âˆš3/4 S2\nIf S = 24, Area of triangle = âˆš3/4 * 24 * 24 = 144âˆš3 cm2;
If P(32, 6) = kC (32, 6), then what is the value of k?\nOptions:\n(A) 6\n(B) 32\n(C) 120\n(D) 720\n(E) None	(D)	Since 32P6 = k32C6\n⇒ 32/ ( 32-6 ) = k(32/ ( 32-6 )\n⇒k = 6! = 720
A no. when divided by the sum of 555 and 445 gives 2times their difference as quotient & 30 as remainder. Find the no. is?\nOptions:\n(A) 124432\n(B) 145366\n(C) 157768\n(D) 178432\n(E) 220030	(E)	(555 + 445) * 2 * 110 + 30 = 220000 + 30 = 220030
Which of the following expressions are different in value?\n(A) (2x + 3y)2\n(B) (2x + y)2 + 8y(x + y)\n(C) (2x – y)2 – 8y(x + y)\n(D) 22(x + y)2 + 4xy + 5y2\nOptions:\n(A) A and B\n(B) B and C only\n(C) A, B and D only\n(D) B and D only\n(E) All are different	(B)	All others are equal except (C).
