Claim: "Only people named Floyd wearing pink are allowed to attend Pink Floyd concerts."\nIs the claim above correct, and can it be verified by human common sense and without a web search?\nOptions:\n- yes\n- no	no	The rock group would not be as popular is they had such requirements for their concerts.
"Marlboro used iconic imagery to promote its brand."\nIs the above claim true?\nOptions:\n- yes\n- no	yes	Marlboro (cigarette) is used cowboys as an advertising campaign.
Is the following a factual statement?\n"Larry King served tea during his show."\nOptions:\n- yes\n- no	no	He had a set format that did not involve tea.
Yes / no, is the following a verifiable fact?\n"The crack in the Liberty Bell sets it apart from other famous bells."	yes	The Liberty Bell is famous for having a large crack in its side.
Claim: "Ian Kilmister, Larry Wallis and Lucas Fox were the people who formed the music band Motörhead."\nIs the claim above correct, and can it be verified by human common sense and without a web search?\nOptions:\n- yes\n- no	yes	Motörhead were a British rock band formed in June 1975 by bassist, singer, songwriter and only constant member Ian "Lemmy" Kilmister, guitarist Larry Wallis and drummer Lucas Fox.
"Margaret Atwood has published 18 books of poetry, 18 novels, 11 books of non-fiction, nine collections of short fiction and so on."\nIs the above claim true?\nOptions:\n- yes\n- no	yes	Margaret Atwood is a Canadian poet, novelist, literary critic, essayist, teacher, environmental activist, and inventor and she published various books.
Is the following statement true?\n"A Jury may decide whether a criminal is guilty or innocent."	yes	Juries are used in the American legal system to decide the outcomes of criminal trials.
Is the following sentence factually correct?\n"Tony Bennett sings many classic tunes and is famous for singing I Left My Heart in San Francisco."\nOptions:\n- yes\n- no	yes	Toney Bennett croons a variety of famous songs and "I Left My Heart in San Francisco" is one of his biggest hits.
Is the following a factual statement?\n"Macbeth received a prophecy that one day he will become King of Scotland."\nOptions:\n- yes\n- no	yes	Macbeth receives a prophecy from a trio of witches that one day he will become King of Scotland.
Yes / no, is the following a verifiable fact?\n"The Peach belongs to a group of seedless fruit."	no	Peaches have one large seed surrounded by the flesh of the fruit.
Claim: "Length acts as measurement of a physical property of how long something is."\nIs the claim above correct, and can it be verified by human common sense and without a web search?\nOptions:\n- yes\n- no	yes	Length is used to determine how long something is.
"Pythagoras put forth the Pythagoras theory."\nIs the above claim true?\nOptions:\n- yes\n- no	yes	The Pythagoras theorem is a mathematical law that states that the sum of squares of the lengths of the two short sides of the right triangle is equal to the square of the length of the hypotenuse. Pythagoras was the first to prove this.
Is the following statement true?\n"One travels along the road when riding in a Citroën."	yes	Citroën manufacturers vehicles such as cars and buses.
