Of the following two sentences, which one is against common sense?\nOptions:\n- Sentence A: "He poured orange juice on his cereal."\n- Sentence B: "He poured milk on his cereal."\n	Sentence A	Orange juice does not taste good on cereal.
Which of the following two sentences does not make sense?\nOptions:\n- Sentence A: "He drinks apple."\n- Sentence B: "He drinks milk."\n	Sentence A	An apple is a whole food and unable to be drunk without being juiced.
One of the following sentences is nonsensical. Which one is it?\nOptions:\n- Sentence A: "A walk-in closet is larger than a normal closet."\n- Sentence B: "A normal closet is larger than a walk-in closet."\n	Sentence B	A person cannot walk into a normal closet because it is smaller than a walk-in closet.
Which of these sentences doesn't make sense?\nOptions:\n- Sentence A: "A GIRL WON THE RACE WITH HER FRIEND"\n- Sentence B: "A GIRL WON THE RACE WITH HORSE"\n	Sentence B	A person is too slow to race a horse.
Choose the sentence that goes against common sense.\nOptions:\n- Sentence A: "Mark drank a notebook."\n- Sentence B: "Mark drank water."\n	Sentence A	A notebook is a solid and by definition a person can only drink a liquid.
Pick which sentence is not logical.\nOptions:\n- Sentence A: "He went to the police station to withdraw cash."\n- Sentence B: "He went to the bank to withdraw cash."\n	Sentence A	Police station is a place to file criminal complaints.
Of the below sentences, which one does *not* make sense?\nOptions:\n- Sentence A: "The caterpillar eats the rose bud"\n- Sentence B: "Roses buds  eat caterpillars"\n	Sentence B	Rose buds are plants and can't eat animals.
Which of the following sentences is nonsensical?\nOptions:\n- Sentence A: "Lisa played jazz music for Moses of the Old Testament yesterday."\n- Sentence B: "Lisa played jazz music for the President of the USA yesterday."\n	Sentence A	Moses has been dead for a long time and could not have heard a concert yesterday.
Of the following two sentences, which one is against common sense?\nOptions:\n- Sentence A: "My brother placed the car inside the box."\n- Sentence B: "My brother placed the nuclear reactor inside the box."\n	Sentence B	Nuclear reactor is way too big to be placed in a box.
Which of the following two sentences does not make sense?\nOptions:\n- Sentence A: "She took the chair for a walk"\n- Sentence B: "She took the dog for a walk"\n	Sentence A	Chair is not use for walk. It is create uncomfortable situation.
One of the following sentences is nonsensical. Which one is it?\nOptions:\n- Sentence A: "I cook fish very well"\n- Sentence B: "I cook football very well"\n	Sentence B	Footballs are not food, and therefore are not cooked.
Which of these sentences doesn't make sense?\nOptions:\n- Sentence A: "a dog is taken to a veterinarian after getting sick"\n- Sentence B: "a dog is taken to a pool after getting sick"\n	Sentence B	A pool doesn't have medicine to fix the dog.
Choose the sentence that goes against common sense.\nOptions:\n- Sentence A: "She rode her bike to the moon."\n- Sentence B: "She rode her bike to the store."\n	Sentence A	The store is a reasonable place to ride one's bike, and we cannot ride our bike to outer space or the moon.
Pick which sentence is not logical.\nOptions:\n- Sentence A: "A mobile phone shut down"\n- Sentence B: "A boy shuts down"\n	Sentence B	Humans don't usually shut down, shut down is typically used to describe technology.
Of the below sentences, which one does *not* make sense?\nOptions:\n- Sentence A: "He planted cucumber seeds in the couch."\n- Sentence B: "He planted cucumber seeds in the garden."\n	Sentence A	Cucumbers need the conditions of a garden to grow instead of a couch.
Which of the following sentences is nonsensical?\nOptions:\n- Sentence A: "I read stars"\n- Sentence B: "Stars read me"\n	Sentence B	People read the stars and not the other way around.
Of the following two sentences, which one is against common sense?\nOptions:\n- Sentence A: "A boy turns off the door"\n- Sentence B: "A boy turns off the light"\n	Sentence A	A door is never on so can't be turned off.
Which of the following two sentences does not make sense?\nOptions:\n- Sentence A: "He read a very long window King Tut."\n- Sentence B: "He read a  book about King Tut."\n	Sentence A	Books have pages and words to read, while windows do not and serve a different purpose.
One of the following sentences is nonsensical. Which one is it?\nOptions:\n- Sentence A: "He lost his phone at the park."\n- Sentence B: "He lost his phone in the mouth of a griffin."\n	Sentence B	A griffin is a mythical creature that does not exist.
Which of these sentences doesn't make sense?\nOptions:\n- Sentence A: "he kept a juice bottle into the fridge"\n- Sentence B: "he kept a chair inside the fridge"\n	Sentence B	A chair would not fit inside a fridge.
Choose the sentence that goes against common sense.\nOptions:\n- Sentence A: "I read a tiger"\n- Sentence B: "I read a book"\n	Sentence A	Tiger is not a book or any sentence, It is living thing.
Pick which sentence is not logical.\nOptions:\n- Sentence A: "She drove to the grocery store."\n- Sentence B: "She parachuted into the grocery store from a plane."\n	Sentence B	If you jumped from a plane to get groceries, you would have no way to get them home.
Of the below sentences, which one does *not* make sense?\nOptions:\n- Sentence A: "The fish swam in the desert."\n- Sentence B: "The fish swam in the ocean."\n	Sentence A	A desert has no water, so a fish could not swim there.
Which of the following sentences is nonsensical?\nOptions:\n- Sentence A: "Jane saw a giraffe at the zoo."\n- Sentence B: "Jane saw a giraffe in her purse."\n	Sentence B	A purse is too small for a giraffe to be in.
Of the following two sentences, which one is against common sense?\nOptions:\n- Sentence A: "We use a clock to know the time"\n- Sentence B: "We use book to know the time"\n	Sentence B	A book does not have the ability to show what time it is.
Which of the following two sentences does not make sense?\nOptions:\n- Sentence A: "I run in the air"\n- Sentence B: "I run in the ground"\n	Sentence A	The air is not solid to run on.
One of the following sentences is nonsensical. Which one is it?\nOptions:\n- Sentence A: "Jake ate artificial mango"\n- Sentence B: "Jack ate mango"\n	Sentence A	Artificial mango isn't real food so it's not edible.
Which of these sentences doesn't make sense?\nOptions:\n- Sentence A: "Baby is taking toys"\n- Sentence B: "Baby is taking dictionary"\n	Sentence B	Dictionaries are heavy books that a baby cannot lift or take.
Choose the sentence that goes against common sense.\nOptions:\n- Sentence A: "the school was open for summer"\n- Sentence B: "the school was open for fall"\n	Sentence A	Schools are closed in the summer for break.
Pick which sentence is not logical.\nOptions:\n- Sentence A: "The chocolate cried"\n- Sentence B: "The chocolate melted"\n	Sentence A	Chocolate is an inanimate, non human thing and cannot cry.
Of the below sentences, which one does *not* make sense?\nOptions:\n- Sentence A: "There are commercials in the middle of a television program"\n- Sentence B: "There are barbecues in the middle of a television program"\n	Sentence B	Barbecues cannot be placed in a tv show.
Which of the following sentences is nonsensical?\nOptions:\n- Sentence A: "He was tired and so he went to get into his car."\n- Sentence B: "He was tired and so he went to get into his bed."\n	Sentence A	One should not drive when one is tired.
Of the following two sentences, which one is against common sense?\nOptions:\n- Sentence A: "You sometimes puke after getting drunk"\n- Sentence B: "You never puke after getting drunk"\n	Sentence B	Alcohol when consumed in high amounts can cause nausea and for many people this inducing vomiting.
Which of the following two sentences does not make sense?\nOptions:\n- Sentence A: "You can use a jellyfish to hold checks."\n- Sentence B: "You can use a checkbook holder to hold checks."\n	Sentence A	A jellyfish is a sea creature not intended to hold anything.
One of the following sentences is nonsensical. Which one is it?\nOptions:\n- Sentence A: "Lawyers are people who play characters in television or theatre"\n- Sentence B: "Actors are people who play characters in television or theatre"\n	Sentence A	Lawyers defend or prosecute people charge with crimes.
Which of these sentences doesn't make sense?\nOptions:\n- Sentence A: "A giraffe drove a car"\n- Sentence B: "A man drove a car."\n	Sentence A	Giraffes cannot drive or even fit inside a car.
Choose the sentence that goes against common sense.\nOptions:\n- Sentence A: "My daughter always takes bath in a kitchen sink and avoids bath tub"\n- Sentence B: "My daughter always takes bath in a shower and avoids bath tub"\n	Sentence A	The kitchen sink is smaller and harder to get into than the bathtub.
Pick which sentence is not logical.\nOptions:\n- Sentence A: "Rotten food usually smells nasty."\n- Sentence B: "Rotten food smells nice."\n	Sentence B	Rotten food is decomposing and producing toxic smelly gasses.
Of the below sentences, which one does *not* make sense?\nOptions:\n- Sentence A: "An actor wear a toaster."\n- Sentence B: "An actor can wear a costume."\n	Sentence A	A toaster in an electrical product and not a outfit.
Which of the following sentences is nonsensical?\nOptions:\n- Sentence A: "The man slept in bed."\n- Sentence B: "The man slept on the volcano."\n	Sentence B	Beds are generally comfortable while volcanoes cause destruction.
Of the following two sentences, which one is against common sense?\nOptions:\n- Sentence A: "You will never see a teacher inside of a school."\n- Sentence B: "You will find teachers in a school."\n	Sentence A	A school requires teachers in order to run and teach the pupils so a teacher would always be in a school.
Which of the following two sentences does not make sense?\nOptions:\n- Sentence A: "She cuts a pizza with a knife."\n- Sentence B: "She cuts a pizza with an advertising board."\n	Sentence B	An advertising board is much larger than a pizza.
One of the following sentences is nonsensical. Which one is it?\nOptions:\n- Sentence A: "If your heartbeat stops then you are classed as dead."\n- Sentence B: "You are still alive if you do not have a heartbeat."\n	Sentence B	Your heartbeat is what keeps you alive and breathing by transporting blood so without it you are dead.
Which of these sentences doesn't make sense?\nOptions:\n- Sentence A: "the trampoline jumped on him"\n- Sentence B: "He jumped on the trampoline"\n	Sentence A	Trampolines are still objects that do not perform actions.
Choose the sentence that goes against common sense.\nOptions:\n- Sentence A: "She was going to school in a bus"\n- Sentence B: "She was going to school in a lunch box"\n	Sentence B	A person would not fit inside of a lunch box.
Pick which sentence is not logical.\nOptions:\n- Sentence A: "The man paid the bill with cash."\n- Sentence B: "The man paid the bill with water."\n	Sentence B	Water usually does not hold up while money is tangible.
Of the below sentences, which one does *not* make sense?\nOptions:\n- Sentence A: "She write the story in paper"\n- Sentence B: "She write the story in water"\n	Sentence B	Water will not stay still so you cannot write in it.
Which of the following sentences is nonsensical?\nOptions:\n- Sentence A: "The storage in every computer is unlimited."\n- Sentence B: "A computer can run out of storage."\n	Sentence A	A computer has limited space in a hard-rive so the storage cannot be unlimited.
Of the following two sentences, which one is against common sense?\nOptions:\n- Sentence A: "People only cry when they are angry."\n- Sentence B: "People cry when they are sad."\n	Sentence A	Crying is a natural response to being sad and many people cry when they are sad to express the feeling.
